Year,District,Area_Hectares,Yield_Kg_Ha,Crop,Avg_Temperature_C,max_temp_C,min_temp_C,Avg_Humidity_Pct,Avg_Rainfall_mm,total_solar_radiation_kWh/m2,total_PAR_MJ/m2,Avg_Wind_Speed_ms,avg_pH_value,fertilizer_in_MT,Production_MT,Planting_Month,Province
2010,Dolakha,3133.0,2012.0,Rice,2.402630137,8.398520548,-2.210876712,64.09180822,676.75,6170.27,2715.89,2.132109589,6.5,11408.0,6303.596,July,Bagmati
2010,Dolakha,5387.0,2290.0,Maize,2.402630137,8.398520548,-2.210876712,64.09180822,676.75,6170.27,2715.89,2.132109589,6.5,11408.0,12336.23,April,Bagmati
2010,Dolakha,3555.0,1152.0,Millet,2.402630137,8.398520548,-2.210876712,64.09180822,676.75,6170.27,2715.89,2.132109589,6.5,11408.0,4095.36,August,Bagmati
2010,Dolakha,0.0,0.0,Buckwheat,2.402630137,8.398520548,-2.210876712,64.09180822,676.75,6170.27,2715.89,2.132109589,6.5,11408.0,0.0,September,Bagmati
2010,Dolakha,4400.0,1160.0,Wheat,2.402630137,8.398520548,-2.210876712,64.09180822,676.75,6170.27,2715.89,2.132109589,6.5,11408.0,5104.0,November,Bagmati
2010,Dolakha,231.0,996.0,Barley,2.402630137,8.398520548,-2.210876712,64.09180822,676.75,6170.27,2715.89,2.132109589,6.5,11408.0,230.076,November,Bagmati
2010,Dolpa,270.0,1700.0,Rice,-0.561424658,5.743178082,-5.62969863,62.76506849,945.58,6452.09,2802.61,1.902547945,6.6,1248.0,459.0,July,Karnali
2010,Dolpa,2300.0,1500.0,Maize,-0.561424658,5.743178082,-5.62969863,62.76506849,945.58,6452.09,2802.61,1.902547945,6.6,1248.0,3450.0,April,Karnali
2010,Dolpa,325.0,800.0,Millet,-0.561424658,5.743178082,-5.62969863,62.76506849,945.58,6452.09,2802.61,1.902547945,6.6,1248.0,260.0,August,Karnali
2010,Dolpa,300.0,800.0,Buckwheat,-0.561424658,5.743178082,-5.62969863,62.76506849,945.58,6452.09,2802.61,1.902547945,6.6,1248.0,240.0,September,Karnali
2010,Dolpa,2500.0,2280.0,Wheat,-0.561424658,5.743178082,-5.62969863,62.76506849,945.58,6452.09,2802.61,1.902547945,6.6,1248.0,5700.0,November,Karnali
2010,Dolpa,250.0,832.0,Barley,-0.561424658,5.743178082,-5.62969863,62.76506849,945.58,6452.09,2802.61,1.902547945,6.6,1248.0,208.0,November,Karnali
2010,Doti,7570.0,2378.0,Rice,16.60326027,22.62317808,11.56394521,54.036,1219.07,6708.83,2953.94,1.476657534,5.9,22.0,18001.46,July,Sudurpashchim
2010,Doti,2545.0,1648.0,Maize,16.60326027,22.62317808,11.56394521,54.036,1219.07,6708.83,2953.94,1.476657534,5.9,22.0,4194.16,April,Sudurpashchim
2010,Doti,4953.0,1081.0,Millet,16.60326027,22.62317808,11.56394521,54.036,1219.07,6708.83,2953.94,1.476657534,5.9,22.0,5354.193,August,Sudurpashchim
2010,Doti,0.0,0.0,Buckwheat,16.60326027,22.62317808,11.56394521,54.036,1219.07,6708.83,2953.94,1.476657534,5.9,22.0,0.0,September,Sudurpashchim
2010,Doti,16150.0,1734.0,Wheat,16.60326027,22.62317808,11.56394521,54.036,1219.07,6708.83,2953.94,1.476657534,5.9,22.0,28004.1,November,Sudurpashchim
2010,Doti,250.0,1000.0,Barley,16.60326027,22.62317808,11.56394521,54.036,1219.07,6708.83,2953.94,1.476657534,5.9,22.0,250.0,November,Sudurpashchim
2010,Gorkha,17785.0,2771.0,Rice,15.64268493,21.13356164,11.25421918,58.718,962.18,6402.98,2974.38,1.60939726,5.5,348.0,49282.235,July,Gandaki
2010,Gorkha,19350.0,2250.0,Maize,15.64268493,21.13356164,11.25421918,58.718,962.18,6402.98,2974.38,1.60939726,5.5,348.0,43537.5,April,Gandaki
2010,Gorkha,11605.0,1000.0,Millet,15.64268493,21.13356164,11.25421918,58.718,962.18,6402.98,2974.38,1.60939726,5.5,348.0,11605.0,August,Gandaki
